:START_ID,:END_ID,:TYPE
Q11895,Q1354843,INFLUENCED
Q76499,Q6512,INFLUENCED
Q171091,Q312853,INFLUENCED
Q188176,Q188987,INFLUENCED
Q365110,Q320042,INFLUENCED
Q860654,Q648619,INFLUENCED
Q3407740,Q27925670,INFLUENCED
Q124877059,Q24959818,INFLUENCED
Q482477,Q2845440,INFLUENCED
Q1180791,Q11895,INFLUENCED
Q15837802,Q5879,INFLUENCED
Q748,Q10831449,INFLUENCED
Q47154,Q247016,INFLUENCED
Q336115,Q9358,INFLUENCED
Q1131652,Q20479,INFLUENCED
Q25374952,Q99673488,INFLUENCED
Q193140,Q107347928,INFLUENCED
Q18219674,Q5052553,INFLUENCED
Q4051602,Q7687748,INFLUENCED
Q9235,Q44403,INFLUENCED
Q7006371,Q11612655,INFLUENCED
Q3667461,Q3852152,INFLUENCED
Q332032,Q4299,INFLUENCED
Q204068,Q207084,INFLUENCED
Q2378,Q110885022,INFLUENCED
Q316347,Q1927910,INFLUENCED
Q463065,Q3173183,INFLUENCED
Q356490,Q1375067,INFLUENCED
Q425772,Q89063842,INFLUENCED
Q1701119,Q470497,INFLUENCED
Q368862,Q6240,INFLUENCED
Q216873,Q18508579,INFLUENCED
Q484141,Q4164534,INFLUENCED
Q451743,Q83003,INFLUENCED
Q211770,Q940536,INFLUENCED
Q40640,Q16370733,INFLUENCED
Q235086,Q5423621,INFLUENCED
Q357340,Q122871968,INFLUENCED
Q677161,Q7671956,INFLUENCED
Q677115,Q123789150,INFLUENCED
Q28031619,Q118152857,INFLUENCED
Q720419,Q61745035,INFLUENCED
Q5682,Q105758514,INFLUENCED
Q183048,Q116762464,INFLUENCED
Q39427,Q16064865,INFLUENCED
Q234579,Q292180,INFLUENCED
Q4154349,Q105978624,INFLUENCED
Q1773603,Q3025814,INFLUENCED
Q221494,Q11895,INFLUENCED
Q692,Q316607,INFLUENCED
Q117458837,Q47090621,INFLUENCED
Q388,Q14581,INFLUENCED
Q7349,Q13365774,INFLUENCED
Q124179,Q10708,INFLUENCED
Q711198,Q5791581,INFLUENCED
Q3629485,Q20987916,INFLUENCED
Q113644511,Q136384838,INFLUENCED
Q40504,Q116812214,INFLUENCED
Q211987,Q123397624,INFLUENCED
Q8777,Q25104949,INFLUENCED
Q3108665,Q72327080,INFLUENCED
Q2831,Q9069445,INFLUENCED
Q188668,Q98934750,INFLUENCED
Q38757,Q433407,INFLUENCED
Q21066641,Q62059126,INFLUENCED
Q454321,Q12720383,INFLUENCED
Q47213,Q69358316,INFLUENCED
Q1516,Q125134759,INFLUENCED
Q310715,Q154349,INFLUENCED
Q240769,Q100503341,INFLUENCED
Q2331,Q486688,INFLUENCED
Q44272,Q10392247,INFLUENCED
Q1299,Q101505,INFLUENCED
Q174808,Q28828766,INFLUENCED
Q208460,Q507461,INFLUENCED
Q3471115,Q135189423,INFLUENCED
Q41688,Q937,INFLUENCED
Q126462,Q49081,INFLUENCED
Q354519,Q965179,INFLUENCED
Q2370,Q4036051,INFLUENCED
Q452011,Q261566,INFLUENCED
Q313779,Q84061032,INFLUENCED
Q333686,Q310161,INFLUENCED
Q2353373,Q1001,INFLUENCED
Q72092,Q485039,INFLUENCED
Q312086,Q522966,INFLUENCED
Q193338,Q56885751,INFLUENCED
Q12025975,Q19932748,INFLUENCED
Q47426,Q2698984,INFLUENCED
Q648619,Q2370,INFLUENCED
Q5928,Q117139,INFLUENCED
Q223736,Q134396919,INFLUENCED
Q93284,Q5888937,INFLUENCED
Q106959609,Q125423133,INFLUENCED
Q33977,Q40640,INFLUENCED
Q378858,Q370447,INFLUENCED
Q117684,Q29068119,INFLUENCED
Q271032,Q1827287,INFLUENCED
Q312093,Q207898,INFLUENCED
Q662029,Q1034675,INFLUENCED
Q1447724,Q5628058,INFLUENCED
Q3825360,Q136186266,INFLUENCED
Q297079,Q76688,INFLUENCED
Q157271,Q44403,INFLUENCED
Q7322195,Q937,INFLUENCED
Q2137133,Q125627393,INFLUENCED
Q505476,Q118369469,INFLUENCED
Q155855,Q297538,INFLUENCED
Q705726,Q112821298,INFLUENCED
Q342730,Q83003,INFLUENCED
Q952245,Q63078412,INFLUENCED
Q106629644,Q110218966,INFLUENCED
Q192207,Q7399457,INFLUENCED
Q311903,Q15198047,INFLUENCED
Q28151971,Q136465111,INFLUENCED
Q740434,Q1045827,INFLUENCED
Q125072297,Q125072269,INFLUENCED
Q374754,Q119585056,INFLUENCED
Q7407478,Q712851,INFLUENCED
Q28864892,Q114963738,INFLUENCED
Q41532,Q19985218,INFLUENCED
Q407535,Q114241532,INFLUENCED
Q47551,Q107570225,INFLUENCED
Q36661,Q966051,INFLUENCED
Q310794,Q1309408,INFLUENCED
Q2621397,Q55185591,INFLUENCED
Q310170,Q41816524,INFLUENCED
Q599238,Q126460,INFLUENCED
Q19299698,Q16946011,INFLUENCED
Q206939,Q180224,INFLUENCED
Q1130624,Q217025,INFLUENCED
Q1331995,Q4827944,INFLUENCED
Q310170,Q10708,INFLUENCED
Q5589,Q116151989,INFLUENCED
Q15869,Q312883,INFLUENCED
Q296,Q555224,INFLUENCED
Q214237,Q1514140,INFLUENCED
Q312258,Q229990,INFLUENCED
Q238243,Q261566,INFLUENCED
Q55641,Q503205,INFLUENCED
Q216406,Q276064,INFLUENCED
Q40321,Q5649155,INFLUENCED
Q108547541,Q2897924,INFLUENCED
Q7487,Q5622209,INFLUENCED
Q896109,Q207472,INFLUENCED
Q2909597,Q124455263,INFLUENCED
Q15869,Q56222322,INFLUENCED
Q36322,Q270648,INFLUENCED
Q16867,Q501,INFLUENCED
Q142701,Q2845440,INFLUENCED
Q184226,Q7297230,INFLUENCED
Q38392,Q3218029,INFLUENCED
Q93038,Q92935,INFLUENCED
Q914054,Q47460520,INFLUENCED
Q1027641,Q54475261,INFLUENCED
Q41576,Q106049560,INFLUENCED
Q41576,Q108499402,INFLUENCED
Q154490,Q270848,INFLUENCED
Q482444,Q182223,INFLUENCED
Q508588,Q87565,INFLUENCED
Q1030927,Q1155385,INFLUENCED
Q248244,Q50641379,INFLUENCED
Q1207679,Q11625368,INFLUENCED
Q23848,Q261314,INFLUENCED
Q42455,Q106369977,INFLUENCED
Q210201,Q2975722,INFLUENCED
Q317876,Q12750,INFLUENCED
Q834889,Q2470693,INFLUENCED
Q13955,Q2472328,INFLUENCED
Q1650882,Q101066052,INFLUENCED
Q6042909,Q30564104,INFLUENCED
Q5752,Q925403,INFLUENCED
Q315796,Q112113094,INFLUENCED
Q354371,Q117854244,INFLUENCED
Q11036,Q180224,INFLUENCED
Q192207,Q3631166,INFLUENCED
Q312434,Q124637749,INFLUENCED
Q41576,Q109845438,INFLUENCED
Q153104,Q3645683,INFLUENCED
Q541089,Q101066052,INFLUENCED
Q2685,Q104315171,INFLUENCED
Q1225,Q713270,INFLUENCED
Q319502,Q64759499,INFLUENCED
Q15452495,Q22278242,INFLUENCED
Q522192,Q531273,INFLUENCED
Q55761947,Q57317305,INFLUENCED
Q1067,Q152513,INFLUENCED
Q41532,Q254032,INFLUENCED
Q156810,Q65697955,INFLUENCED
Q529001,Q1206754,INFLUENCED
Q560238,Q16369753,INFLUENCED
Q22018863,Q102150205,INFLUENCED
Q48301,Q16130040,INFLUENCED
Q84455,Q107102070,INFLUENCED
Q45165,Q261,INFLUENCED
Q82545,Q47871,INFLUENCED
Q15948,Q220008,INFLUENCED
Q1299,Q15136158,INFLUENCED
Q519282,Q938849,INFLUENCED
Q217477,Q213195,INFLUENCED
Q148458,Q296,INFLUENCED
Q332635,Q113004724,INFLUENCED
Q117315771,Q121290701,INFLUENCED
Q1549224,Q673364,INFLUENCED
Q181659,Q440100,INFLUENCED
Q166593,Q5090924,INFLUENCED
Q1299,Q1068713,INFLUENCED
Q96939239,Q102046737,INFLUENCED
Q431977,Q981460,INFLUENCED
Q624538,Q485825,INFLUENCED
Q7308770,Q333834,INFLUENCED
Q78484,Q1598176,INFLUENCED
Q34190,Q5686,INFLUENCED
Q122377,Q52442637,INFLUENCED
Q1525640,Q38337,INFLUENCED
Q455510,Q380869,INFLUENCED
Q7847758,Q127558724,INFLUENCED
Q357569,Q134301689,INFLUENCED
Q158099,Q7207747,INFLUENCED
Q207359,Q3052710,INFLUENCED
Q241248,Q5529930,INFLUENCED
Q105475134,Q109603400,INFLUENCED
Q2775516,Q248707,INFLUENCED
Q8457,Q37032097,INFLUENCED
Q45546,Q168728,INFLUENCED
Q590,Q316806,INFLUENCED
Q189758,Q1233700,INFLUENCED
Q180104,Q22958938,INFLUENCED
Q151843,Q114669008,INFLUENCED
Q321563,Q7322,INFLUENCED
Q49575,Q518455,INFLUENCED
Q311826,Q403744,INFLUENCED
Q392,Q396,INFLUENCED
Q5113405,Q6547694,INFLUENCED
Q6827906,Q96206347,INFLUENCED
Q76828,Q5366539,INFLUENCED
Q313362,Q98157720,INFLUENCED
Q3749980,Q130315713,INFLUENCED
Q109260,Q671962,INFLUENCED
Q2005,Q1106819,INFLUENCED
Q1299,Q317272,INFLUENCED
Q181707,Q4430166,INFLUENCED
Q2877183,Q109043573,INFLUENCED
Q151593,Q312434,INFLUENCED
Q575287,Q1541930,INFLUENCED
Q34670,Q3050522,INFLUENCED
Q211770,Q483407,INFLUENCED
Q862223,Q1381972,INFLUENCED
Q7243,Q314189,INFLUENCED
Q862223,Q47871,INFLUENCED
Q40909,Q17036829,INFLUENCED
Q15730563,Q58384041,INFLUENCED
Q55315022,Q133448512,INFLUENCED
Q16571,Q65813,INFLUENCED
Q326403,Q3827806,INFLUENCED
Q160534,Q1065793,INFLUENCED
Q34424,Q115162024,INFLUENCED
Q37193,Q2847492,INFLUENCED
Q3277713,Q125523652,INFLUENCED
Q494547,Q16729844,INFLUENCED
Q496850,Q261745,INFLUENCED
Q122020,Q124758722,INFLUENCED
Q19697,Q484255,INFLUENCED
Q195655,Q1010700,INFLUENCED
Q554497,Q2833939,INFLUENCED
Q240933,Q15079,INFLUENCED
Q598929,Q372103,INFLUENCED
Q288441,Q309829,INFLUENCED
Q334879,Q66370905,INFLUENCED
Q1155385,Q740434,INFLUENCED
Q165792,Q10320719,INFLUENCED
Q277865,Q141703,INFLUENCED
Q65042425,Q25110246,INFLUENCED
Q905,Q217557,INFLUENCED
Q882,Q157191,INFLUENCED
Q366340,Q6276882,INFLUENCED
Q859,Q275003,INFLUENCED
Q1232633,Q3157590,INFLUENCED
Q314306,Q18425,INFLUENCED
Q7159869,Q108353402,INFLUENCED
Q733140,Q117727989,INFLUENCED
Q128126,Q3086628,INFLUENCED
Q22088366,Q5703017,INFLUENCED
Q1568,Q66311273,INFLUENCED
Q155547,Q58793,INFLUENCED
Q1001,Q5909536,INFLUENCED
Q710460,Q2896223,INFLUENCED
Q208767,Q464476,INFLUENCED
Q19848,Q28938599,INFLUENCED
Q160460,Q60059,INFLUENCED
Q7151059,Q28152069,INFLUENCED
Q102172,Q13468745,INFLUENCED
Q1394,Q5809,INFLUENCED
Q9364,Q184226,INFLUENCED
Q47280,Q812767,INFLUENCED
Q14313,Q107392894,INFLUENCED
Q503225,Q2225772,INFLUENCED
Q11403,Q10367225,INFLUENCED
Q2005,Q105157779,INFLUENCED
Q300602,Q123568555,INFLUENCED
Q6119184,Q56724836,INFLUENCED
Q9153216,Q21415679,INFLUENCED
Q1066024,Q1381972,INFLUENCED
Q1066024,Q47871,INFLUENCED
Q352268,Q124690009,INFLUENCED
Q931385,Q1026186,INFLUENCED
Q57065,Q8753,INFLUENCED
Q134453102,Q5984213,INFLUENCED
Q1374775,Q1541219,INFLUENCED
Q1601739,Q463108,INFLUENCED
Q38222,Q440100,INFLUENCED
Q977176,Q1818079,INFLUENCED
Q2469968,Q2563340,INFLUENCED
Q29096967,Q109554546,INFLUENCED
Q3357593,Q4121141,INFLUENCED
Q35548,Q2089948,INFLUENCED
Q149964,Q1753920,INFLUENCED
Q105803,Q111444784,INFLUENCED
Q1745271,Q1672564,INFLUENCED
Q331697,Q13131202,INFLUENCED
Q2300591,Q72092,INFLUENCED
Q160438,Q245188,INFLUENCED
Q467015,Q5941667,INFLUENCED
Q81571,Q827773,INFLUENCED
Q62655,Q3499480,INFLUENCED
Q60025,Q517390,INFLUENCED
Q1677186,Q16994631,INFLUENCED
Q11662,Q132147,INFLUENCED
Q1233980,Q32110,INFLUENCED
Q77724888,Q101221,INFLUENCED
Q105487,Q16192988,INFLUENCED
Q312632,Q361149,INFLUENCED
Q184169,Q505296,INFLUENCED
Q156049,Q62266267,INFLUENCED
Q34670,Q1348334,INFLUENCED
Q140694,Q3830696,INFLUENCED
Q7487,Q62096536,INFLUENCED
Q1398150,Q135443690,INFLUENCED
Q1155385,Q485825,INFLUENCED
Q6733447,Q123698942,INFLUENCED
Q3586228,Q121164488,INFLUENCED
Q111436,Q95225649,INFLUENCED
Q334879,Q406009,INFLUENCED
Q55720160,Q46835868,INFLUENCED
Q169789,Q371831,INFLUENCED
Q421894,Q2828843,INFLUENCED
Q559414,Q132603802,INFLUENCED
Q617215,Q63435018,INFLUENCED
Q937697,Q85209323,INFLUENCED
Q4840899,Q560078,INFLUENCED
Q1928222,Q251,INFLUENCED
Q4130454,Q4151981,INFLUENCED
Q6127106,Q126858310,INFLUENCED
Q551377,Q3499579,INFLUENCED
Q8750,Q9095,INFLUENCED
Q432546,Q4669057,INFLUENCED
Q282787,Q30101317,INFLUENCED
Q48983,Q40273892,INFLUENCED
Q5577,Q124636293,INFLUENCED
Q1607091,Q56452633,INFLUENCED
Q35851,Q109463844,INFLUENCED
Q319243,Q30143889,INFLUENCED
Q44272,Q130631,INFLUENCED
Q3827096,Q107433773,INFLUENCED
Q41576,Q122488838,INFLUENCED
Q313185,Q105364059,INFLUENCED
Q19848,Q115162024,INFLUENCED
Q287514,Q486688,INFLUENCED
Q284542,Q7111346,INFLUENCED
Q3575415,Q105405042,INFLUENCED
Q193140,Q121836512,INFLUENCED
Q1268744,Q1577753,INFLUENCED
Q522041,Q213970,INFLUENCED
Q239910,Q440100,INFLUENCED
Q2331,Q841514,INFLUENCED
Q1777698,Q107037238,INFLUENCED
Q29913443,Q43632352,INFLUENCED
Q302762,Q5105,INFLUENCED
Q101849,Q2352880,INFLUENCED
Q20666368,Q117223202,INFLUENCED
Q38,Q7302,INFLUENCED
Q290750,Q62266267,INFLUENCED
Q39837,Q346523,INFLUENCED
Q102851,Q9438,INFLUENCED
Q191050,Q5346648,INFLUENCED
Q2569373,Q3374941,INFLUENCED
Q3658336,Q106520951,INFLUENCED
Q47426,Q553449,INFLUENCED
Q812767,Q183738,INFLUENCED
Q1169219,Q116058170,INFLUENCED
Q35802,Q289333,INFLUENCED
Q77815985,Q261566,INFLUENCED
Q1144178,Q5816,INFLUENCED
Q248207,Q7542,INFLUENCED
Q154756,Q179695,INFLUENCED
Q313461,Q2610362,INFLUENCED
Q3271303,Q327198,INFLUENCED
Q935,Q20015,INFLUENCED
Q48304,Q118176928,INFLUENCED
Q104326,Q21012756,INFLUENCED
Q271937,Q105930312,INFLUENCED
Q153793,Q109886162,INFLUENCED
Q9358,Q59531281,INFLUENCED
Q2407,Q2370,INFLUENCED
Q272717,Q11912538,INFLUENCED
Q76610,Q30093205,INFLUENCED
Q13408553,Q5945129,INFLUENCED
Q460075,Q438558,INFLUENCED
Q206159,Q1143741,INFLUENCED
Q125603,Q483718,INFLUENCED
Q11067770,Q3571842,INFLUENCED
Q3348646,Q7278681,INFLUENCED
Q2389145,Q550792,INFLUENCED
Q1209759,Q4117844,INFLUENCED
Q183221,Q171344,INFLUENCED
Q208767,Q124179,INFLUENCED
Q704868,Q77466014,INFLUENCED
Q4787277,Q93043,INFLUENCED
Q743137,Q217025,INFLUENCED
Q9235,Q2255276,INFLUENCED
Q52985,Q124970975,INFLUENCED
Q106256002,Q106255137,INFLUENCED
Q1254,Q86412932,INFLUENCED
Q126826,Q221494,INFLUENCED
Q550302,Q2843639,INFLUENCED
Q155041,Q135011339,INFLUENCED
Q204363,Q16063176,INFLUENCED
Q1299,Q112659793,INFLUENCED
Q919115,Q2778923,INFLUENCED
Q365985,Q380799,INFLUENCED
Q170509,Q313466,INFLUENCED
Q692,Q314189,INFLUENCED
Q35802,Q155547,INFLUENCED
Q829348,Q4356357,INFLUENCED
Q360084,Q551475,INFLUENCED
Q3339958,Q323245,INFLUENCED
Q1570297,Q482477,INFLUENCED
Q199418,Q135012592,INFLUENCED
Q7814,Q220813,INFLUENCED
Q25089,Q70341504,INFLUENCED
Q213512,Q155449,INFLUENCED
Q2966187,Q116914079,INFLUENCED
Q5432,Q13415146,INFLUENCED
Q73646,Q505528,INFLUENCED
Q190631,Q272929,INFLUENCED
Q84345,Q87292,INFLUENCED
Q732089,Q28960864,INFLUENCED
Q309702,Q15407110,INFLUENCED
Q5013384,Q131140,INFLUENCED
Q48221,Q110288564,INFLUENCED
Q723350,Q368968,INFLUENCED
Q2066255,Q5963663,INFLUENCED
Q296249,Q78497,INFLUENCED
Q2880876,Q12237722,INFLUENCED
Q45006,Q50201732,INFLUENCED
Q4846312,Q101210028,INFLUENCED
Q6504315,Q16017782,INFLUENCED
Q3436573,Q16211150,INFLUENCED
Q45723,Q1356499,INFLUENCED
Q755,Q493,INFLUENCED
Q61078,Q347362,INFLUENCED
Q37073,Q3908370,INFLUENCED
Q188697,Q937570,INFLUENCED
Q470140,Q843488,INFLUENCED
Q116958268,Q16254929,INFLUENCED
Q7604,Q6722,INFLUENCED
Q72803,Q550792,INFLUENCED
Q2514770,Q708078,INFLUENCED
Q216873,Q2858153,INFLUENCED
Q5599,Q2085926,INFLUENCED
Q41576,Q106049288,INFLUENCED
Q35802,Q937,INFLUENCED
Q155845,Q7081956,INFLUENCED
Q75917,Q4798912,INFLUENCED
Q683378,Q17153088,INFLUENCED
Q219780,Q216195,INFLUENCED
Q1156487,Q131383101,INFLUENCED
Q2142661,Q109007316,INFLUENCED
Q179126,Q6145775,INFLUENCED
Q1786810,Q710574,INFLUENCED
Q434968,Q118645210,INFLUENCED
Q715822,Q61493800,INFLUENCED
Q78484,Q7161103,INFLUENCED
Q80115,Q1475650,INFLUENCED
Q122965,Q116172177,INFLUENCED
Q1142016,Q485825,INFLUENCED
Q19610277,Q108296016,INFLUENCED
Q669033,Q136464169,INFLUENCED
Q124179,Q180224,INFLUENCED
Q12725495,Q550792,INFLUENCED
Q5412550,Q48305225,INFLUENCED
Q485039,Q725469,INFLUENCED
Q169566,Q39829,INFLUENCED
Q166351,Q457608,INFLUENCED
Q642988,Q485811,INFLUENCED
Q3700210,Q157041,INFLUENCED
Q859,Q39837,INFLUENCED
Q636,Q239917,INFLUENCED
Q38193,Q1324254,INFLUENCED
Q2825301,Q506019,INFLUENCED
Q3579740,Q123570778,INFLUENCED
Q133866570,Q135649274,INFLUENCED
Q297,Q351746,INFLUENCED
Q9035,Q3942880,INFLUENCED
Q76416,Q76415,INFLUENCED
Q106666926,Q28715659,INFLUENCED
Q433093,Q8750,INFLUENCED
Q317272,Q47482420,INFLUENCED
Q179126,Q13580896,INFLUENCED
Q2831,Q2121062,INFLUENCED
Q1195945,Q307441,INFLUENCED
Q183372,Q125879,INFLUENCED
Q4152263,Q124770709,INFLUENCED
Q2085,Q11341980,INFLUENCED
Q5928,Q860068,INFLUENCED
Q868,Q297493,INFLUENCED
Q1339,Q1299,INFLUENCED
Q18147361,Q82934,INFLUENCED
Q465877,Q198962,INFLUENCED
Q41576,Q105949920,INFLUENCED
Q9358,Q48301,INFLUENCED
Q9235,Q438632,INFLUENCED
Q3035192,Q89411148,INFLUENCED
Q485508,Q17019466,INFLUENCED
Q7927912,Q2035976,INFLUENCED
Q742,Q134456,INFLUENCED
Q24194,Q7878533,INFLUENCED
Q30547,Q2545677,INFLUENCED
Q1067,Q294181,INFLUENCED
Q34013,Q48207543,INFLUENCED
Q275131,Q7420937,INFLUENCED
Q726169,Q6261745,INFLUENCED
Q124804711,Q135551821,INFLUENCED
Q2619780,Q5867075,INFLUENCED
Q2966075,Q52985,INFLUENCED
Q21993483,Q47644550,INFLUENCED
Q157041,Q107103185,INFLUENCED
Q131285,Q991563,INFLUENCED
Q5432,Q7634046,INFLUENCED
Q7643057,Q5259885,INFLUENCED
Q1511,Q712762,INFLUENCED
Q203913,Q16104906,INFLUENCED
Q38392,Q15443196,INFLUENCED
Q2962917,Q107548129,INFLUENCED
Q170611,Q1242484,INFLUENCED
Q517978,Q3632432,INFLUENCED
Q462232,Q311472,INFLUENCED
Q9711,Q1368307,INFLUENCED
Q134513950,Q131158869,INFLUENCED
Q205739,Q720012,INFLUENCED
Q48301,Q17159976,INFLUENCED
Q268211,Q91,INFLUENCED
Q500700,Q28530613,INFLUENCED
Q15300817,Q101109587,INFLUENCED
Q65059880,Q100317085,INFLUENCED
Q58586,Q60025,INFLUENCED
Q6779831,Q102352408,INFLUENCED
Q3445740,Q19877209,INFLUENCED
Q15429514,Q133974987,INFLUENCED
Q9711,Q991,INFLUENCED
Q5383,Q1396462,INFLUENCED
Q714,Q115362412,INFLUENCED
Q748,Q108822561,INFLUENCED
Q41590,Q6276882,INFLUENCED
Q3162707,Q16217637,INFLUENCED
Q460876,Q369424,INFLUENCED
Q152393,Q154723,INFLUENCED
Q154842,Q22350491,INFLUENCED
Q41576,Q106589277,INFLUENCED
Q34086,Q25894076,INFLUENCED
Q120993,Q5446755,INFLUENCED
Q193655,Q21505791,INFLUENCED
Q681234,Q123423742,INFLUENCED
Q5383,Q1399492,INFLUENCED
Q544338,Q4895522,INFLUENCED
Q38392,Q12864809,INFLUENCED
Q116878235,Q6030991,INFLUENCED
Q214665,Q1001114,INFLUENCED
Q708782,Q19697,INFLUENCED
Q16980116,Q113172807,INFLUENCED
Q139075,Q5715883,INFLUENCED
Q2917160,Q4347290,INFLUENCED
Q317075,Q205162,INFLUENCED
Q47004992,Q2580828,INFLUENCED
Q53505397,Q111016131,INFLUENCED
Q200890,Q30564104,INFLUENCED
Q35802,Q7060,INFLUENCED
Q1337762,Q2853241,INFLUENCED
Q247492,Q7919731,INFLUENCED
Q20463184,Q118135941,INFLUENCED
Q180453,Q4235,INFLUENCED
Q272203,Q213736,INFLUENCED
Q1412856,Q604532,INFLUENCED
Q38193,Q185085,INFLUENCED
Q15948,Q295393,INFLUENCED
Q123078,Q105167,INFLUENCED
